sample	group
Intensity-S1-A10_1_2522	1
Intensity-S1-A11_1_2524	1
Intensity-S1-A12_1_2525	1
Intensity-S1-A1_1_2513	1
Intensity-S1-A2_1_2514	1
Intensity-S1-A2_1_2769	1
Intensity-S1-A3_1_2515	1
Intensity-S1-A3_1_2770	1
Intensity-S1-A4_1_2516	1
Intensity-S1-A5_1_2517	1
Intensity-S1-A5_1_2772	1
Intensity-S1-A6_1_2518	1
Intensity-S1-A7_1_2519	1
Intensity-S1-A8_1_2520	1
Intensity-S1-A9_1_2521	1
Intensity-S1-B10_1_2536	2
Intensity-S1-B11_1_2537	2
Intensity-S1-B12_1_2538	2
Intensity-S1-B1_1_2526	2
Intensity-S1-B2_1_2527	2
Intensity-S1-B3_1_2528	2
Intensity-S1-B4_1_2529	2
Intensity-S1-B5_1_2530	2
Intensity-S1-B6_1_2531	2
Intensity-S1-B7_1_2532	2
Intensity-S1-B8_1_2533	2
Intensity-S1-B9_1_2535	2
Intensity-S1-C10_1_2549	3
Intensity-S1-C11_1_2550	3
Intensity-S1-C12_1_2551	3
Intensity-S1-C1_1_2539	3
Intensity-S1-C2_1_2540	3
Intensity-S1-C3_1_2541	3
Intensity-S1-C4_1_2542	3
Intensity-S1-C5_1_2543	3
Intensity-S1-C6_1_2544	3
Intensity-S1-C7_1_2546	3
Intensity-S1-C8_1_2547	3
Intensity-S1-C9_1_2548	3
Intensity-S1-D10_1_2561	4
Intensity-S1-D11_1_2562	4
Intensity-S1-D12_1_2563	4
Intensity-S1-D1_1_2552	4
Intensity-S1-D2_1_2553	4
Intensity-S1-D3_1_2554	4
Intensity-S1-D4_1_2555	4
Intensity-S1-D5_1_2512	4
Intensity-S1-D6_1_2557	4
Intensity-S1-D7_1_2558	4
Intensity-S1-D8_1_2559	4
Intensity-S1-D9_1_2560	4
Intensity-S1-E10_1_2574	5
Intensity-S1-E11_1_2575	5
Intensity-S1-E12_1_2576	5
Intensity-S1-E1_1_2564	5
Intensity-S1-E2_1_2565	5
Intensity-S1-E3_1_2567	5
Intensity-S1-E4_1_2568	5
Intensity-S1-E5_1_2569	5
Intensity-S1-E6_1_2570	5
Intensity-S1-E7_1_2571	5
Intensity-S1-E8_1_2572	5
Intensity-S1-E9_1_2573	5
Intensity-S1-F10_1_2587	6
Intensity-S1-F10_1_2590	6
Intensity-S1-F11_1_2592	6
Intensity-S1-F12_1_2593	6
Intensity-S1-F1_1_2578	6
Intensity-S1-F2_1_2579	6
Intensity-S1-F3_1_2580	6
Intensity-S1-F4_1_2581	6
Intensity-S1-F5_1_2582	6
Intensity-S1-F6_1_2583	6
Intensity-S1-F7_1_2584	6
Intensity-S1-F8_1_2585	6
Intensity-S1-F9_1_2586	6
Intensity-S1-G11_1_2605	7
Intensity-S1-G1_1_2594	7
Intensity-S1-G2_1_2595	7
Intensity-S1-G3_1_2596	7
Intensity-S1-G4_1_2597	7
Intensity-S1-G5_1_2598	7
Intensity-S1-G6_1_2599	7
Intensity-S1-G7_1_2600	7
Intensity-S1-G8_1_2601	7
Intensity-S1-G9_1_2603	7
Intensity-S1-H10_1_2617	8
Intensity-S1-H11_1_2618	8
Intensity-S1-H12_1_2619	8
Intensity-S1-H2_1_2608	8
Intensity-S1-H3_1_2609	8
Intensity-S1-H4_1_2610	8
Intensity-S1-H5_1_2611	8
Intensity-S1-H6_1_2612	8
Intensity-S1-H7_1_2614	8
Intensity-S1-H8_1_2615	8
Intensity-S1-H9_1_2616	8
Intensity-S2-A10_1_2613	9
Intensity-S2-A11_1_2624	9
Intensity-S2-A12_1_2635	9
Intensity-S2-A1_1_2523	9
Intensity-S2-A2_1_2523	9
Intensity-S2-A3_1_2534	9
Intensity-S2-A4_1_2545	9
Intensity-S2-A5_1_2511	9
Intensity-S2-A5_1_2556	9
Intensity-S2-A6_1_2566	9
Intensity-S2-A7_1_2577	9
Intensity-S2-A8_1_2591	9
Intensity-S2-A9_1_2602	9
Intensity-S2-B1_1_2646	10
Intensity-S2-B2_1_2657	10
Intensity-S2-B3_1_2668	10
Intensity-S2-B4_1_2679	10
Intensity-S2-B5_1_2690	10
Intensity-S2-B6_1_2701	10
Intensity-S2-B7_1_2712	10
Intensity-S2-B8_1_2723	10
Intensity-S4-A10_1_2630	11
Intensity-S4-A11_1_2631	11
Intensity-S4-A12_1_2632	11
Intensity-S4-A1_1_2620	11
Intensity-S4-A2_1_2621	11
Intensity-S4-A3_1_2622	11
Intensity-S4-A4_1_2623	11
Intensity-S4-A5_1_2625	11
Intensity-S4-A6_1_2626	11
Intensity-S4-A7_1_2627	11
Intensity-S4-A8_1_2628	11
Intensity-S4-A9_1_2629	11
Intensity-S4-B10_1_2643	12
Intensity-S4-B11_1_2644	12
Intensity-S4-B12_1_2645	12
Intensity-S4-B1_1_2633	12
Intensity-S4-B2_1_2634	12
Intensity-S4-B3_1_2636	12
Intensity-S4-B4_1_2637	12
Intensity-S4-B5_1_2638	12
Intensity-S4-B6_1_2639	12
Intensity-S4-B7_1_2640	12
Intensity-S4-B8_1_2641	12
Intensity-S4-B9_1_2642	12
Intensity-S4-C10_1_2656	13
Intensity-S4-C11_1_2658	13
Intensity-S4-C12_1_2659	13
Intensity-S4-C1_1_2647	13
Intensity-S4-C2_1_2648	13
Intensity-S4-C3_1_2649	13
Intensity-S4-C4_1_2650	13
Intensity-S4-C5_1_2651	13
Intensity-S4-C6_1_2652	13
Intensity-S4-C7_1_2653	13
Intensity-S4-C8_1_2654	13
Intensity-S4-C9_1_2655	13
Intensity-S4-D10_1_2670	14
Intensity-S4-D11_1_2671	14
Intensity-S4-D12_1_2672	14
Intensity-S4-D1_1_2660	14
Intensity-S4-D2_1_2661	14
Intensity-S4-D3_1_2662	14
Intensity-S4-D4_1_2663	14
Intensity-S4-D5_1_2664	14
Intensity-S4-D6_1_2665	14
Intensity-S4-D7_1_2666	14
Intensity-S4-D8_1_2667	14
Intensity-S4-D9_1_2669	14
Intensity-S4-E10_1_2683	15
Intensity-S4-E11_1_2684	15
Intensity-S4-E12_1_2685	15
Intensity-S4-E1_1_2673	15
Intensity-S4-E2_1_2674	15
Intensity-S4-E3_1_2675	15
Intensity-S4-E4_1_2676	15
Intensity-S4-E5_1_2677	15
Intensity-S4-E6_1_2678	15
Intensity-S4-E7_1_2680	15
Intensity-S4-E8_1_2681	15
Intensity-S4-E9_1_2682	15
Intensity-S4-F10_1_2696	16
Intensity-S4-F12_1_2698	16
Intensity-S4-F2_1_2687	16
Intensity-S4-F3_1_2688	16
Intensity-S4-F4_1_2689	16
Intensity-S4-F5_1_2691	16
Intensity-S4-F6_1_2692	16
Intensity-S4-F7_1_2693	16
Intensity-S4-F8_1_2694	16
Intensity-S4-F9_1_2695	16
Intensity-S4-G10_1_2709	17
Intensity-S4-G11_1_2710	17
Intensity-S4-G12_1_2711	17
Intensity-S4-G1_1_2699	17
Intensity-S4-G2_1_2700	17
Intensity-S4-G3_1_2702	17
Intensity-S4-G4_1_2703	17
Intensity-S4-G5_1_2704	17
Intensity-S4-G6_1_2705	17
Intensity-S4-G7_1_2706	17
Intensity-S4-G8_1_2707	17
Intensity-S4-G9_1_2708	17
Intensity-S4-H10_1_2722	18
Intensity-S4-H1_1_2713	18
Intensity-S4-H2_1_2714	18
Intensity-S4-H3_1_2715	18
Intensity-S4-H4_1_2716	18
Intensity-S4-H5_1_2717	18
Intensity-S4-H6_1_2718	18
Intensity-S4-H7_1_2719	18
Intensity-S4-H8_1_2720	18
Intensity-S4-H9_1_2721	18
